> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
2 Producers and 10 Consumers to be initilized 

| Consumed ->10     | Thread-10      | Store Id ->1    | Sale Amt. ->783.65204        
| Produced ->10     | Thread-1      | Store Id ->1    | Sale Amt. ->783.65204        
| Consumed ->10     | Thread-11      | Store Id ->0    | Sale Amt. ->661.6076        
| Produced ->10     | Thread-0      | Store Id ->0    | Sale Amt. ->661.6076        
| Consumed ->10     | Thread-2      | Store Id ->0    | Sale Amt. ->681.28046        
| Produced ->10     | Thread-0      | Store Id ->0    | Sale Amt. ->681.28046        
| Consumed ->10     | Thread-3      | Store Id ->1    | Sale Amt. ->938.0253        
| Produced ->10     | Thread-1      | Store Id ->1    | Sale Amt. ->938.0253        
| Produced ->13     | Thread-0      | Store Id ->0    | Sale Amt. ->726.8964        
| Consumed ->13     | Thread-3      | Store Id ->0    | Sale Amt. ->726.8964        
| Consumed ->13     | Thread-4      | Store Id ->1    | Sale Amt. ->158.05743        
| Produced ->13     | Thread-1      | Store Id ->1    | Sale Amt. ->158.05743        
| Produced ->15     | Thread-0      | Store Id ->0    | Sale Amt. ->325.5721        
| Consumed ->15     | Thread-4      | Store Id ->0    | Sale Amt. ->325.5721        
| Produced ->15     | Thread-1      | Store Id ->1    | Sale Amt. ->485.49603        
| Consumed ->15     | Thread-5      | Store Id ->1    | Sale Amt. ->485.49603        
| Produced ->18     | Thread-0      | Store Id ->0    | Sale Amt. ->108.11968        
| Consumed ->18     | Thread-5      | Store Id ->0    | Sale Amt. ->108.11968        
| Produced ->18     | Thread-0      | Store Id ->0    | Sale Amt. ->256.12158        
| Consumed ->18     | Thread-6      | Store Id ->0    | Sale Amt. ->256.12158        
| Produced ->18     | Thread-1      | Store Id ->1    | Sale Amt. ->127.94033        
| Consumed ->18     | Thread-2      | Store Id ->1    | Sale Amt. ->127.94033        
| Produced ->19     | Thread-1      | Store Id ->1    | Sale Amt. ->335.06992        
| Consumed ->19     | Thread-5      | Store Id ->1    | Sale Amt. ->335.06992        
| Produced ->19     | Thread-0      | Store Id ->0    | Sale Amt. ->718.19055        
| Consumed ->19     | Thread-4      | Store Id ->0    | Sale Amt. ->718.19055        
| Produced ->23     | Thread-0      | Store Id ->0    | Sale Amt. ->563.1778        
| Consumed ->23     | Thread-5      | Store Id ->0    | Sale Amt. ->563.1778        
| Produced ->23     | Thread-1      | Store Id ->1    | Sale Amt. ->946.1292        
| Consumed ->23     | Thread-3      | Store Id ->1    | Sale Amt. ->946.1292        
