> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
5 Producers and 5 Consumers to be initilized 

| Consumed ->5     | Thread-8      | Store Id ->0    | Sale Amt. ->571.12885        
| Produced ->5     | Thread-3      | Store Id ->3    | Sale Amt. ->251.17336        
| Consumed ->5     | Thread-6      | Store Id ->3    | Sale Amt. ->251.17336        
| Produced ->5     | Thread-4      | Store Id ->4    | Sale Amt. ->94.99768        
| Consumed ->5     | Thread-7      | Store Id ->4    | Sale Amt. ->94.99768        
| Consumed ->5     | Thread-9      | Store Id ->1    | Sale Amt. ->431.14923        
| Consumed ->5     | Thread-5      | Store Id ->2    | Sale Amt. ->724.21313        
| Produced ->5     | Thread-0      | Store Id ->0    | Sale Amt. ->571.12885        
| Produced ->5     | Thread-2      | Store Id ->2    | Sale Amt. ->724.21313        
| Produced ->5     | Thread-1      | Store Id ->1    | Sale Amt. ->431.14923        
| Produced ->5     | Thread-1      | Store Id ->1    | Sale Amt. ->381.09204        
| Consumed ->6     | Thread-8      | Store Id ->1    | Sale Amt. ->381.09204        
| Produced ->8     | Thread-0      | Store Id ->0    | Sale Amt. ->829.5481        
| Consumed ->8     | Thread-5      | Store Id ->0    | Sale Amt. ->829.5481        
| Produced ->9     | Thread-1      | Store Id ->1    | Sale Amt. ->695.7765        
| Consumed ->9     | Thread-7      | Store Id ->1    | Sale Amt. ->695.7765        
| Produced ->10     | Thread-0      | Store Id ->0    | Sale Amt. ->645.1732        
| Consumed ->10     | Thread-9      | Store Id ->0    | Sale Amt. ->645.1732        
| Consumed ->10     | Thread-6      | Store Id ->3    | Sale Amt. ->565.74274        
| Produced ->10     | Thread-3      | Store Id ->3    | Sale Amt. ->565.74274        
| Produced ->11     | Thread-1      | Store Id ->1    | Sale Amt. ->307.6928        
| Produced ->11     | Thread-4      | Store Id ->4    | Sale Amt. ->789.2677        
| Consumed ->11     | Thread-7      | Store Id ->1    | Sale Amt. ->307.6928        
| Produced ->11     | Thread-2      | Store Id ->2    | Sale Amt. ->518.9666        
| Produced ->11     | Thread-3      | Store Id ->3    | Sale Amt. ->819.7053        
| Consumed ->12     | Thread-8      | Store Id ->4    | Sale Amt. ->789.2677        
| Produced ->12     | Thread-0      | Store Id ->0    | Sale Amt. ->398.4905        
| Consumed ->13     | Thread-7      | Store Id ->2    | Sale Amt. ->518.9666        
| Produced ->13     | Thread-1      | Store Id ->1    | Sale Amt. ->408.05814        
| Produced ->13     | Thread-4      | Store Id ->4    | Sale Amt. ->129.06378        
| Consumed ->14     | Thread-5      | Store Id ->3    | Sale Amt. ->819.7053        
| Produced ->14     | Thread-4      | Store Id ->4    | Sale Amt. ->445.58002        
| Produced ->14     | Thread-2      | Store Id ->2    | Sale Amt. ->763.8265        
| Consumed ->15     | Thread-6      | Store Id ->0    | Sale Amt. ->398.4905        
| Produced ->15     | Thread-1      | Store Id ->1    | Sale Amt. ->887.5206        
| Consumed ->16     | Thread-9      | Store Id ->1    | Sale Amt. ->408.05814        
| Produced ->17     | Thread-3      | Store Id ->3    | Sale Amt. ->882.4341        
| Consumed ->17     | Thread-8      | Store Id ->4    | Sale Amt. ->129.06378        
| Consumed ->18     | Thread-6      | Store Id ->4    | Sale Amt. ->445.58002        
| Consumed ->20     | Thread-5      | Store Id ->1    | Sale Amt. ->887.5206        
| Consumed ->19     | Thread-7      | Store Id ->2    | Sale Amt. ->763.8265        
| Produced ->20     | Thread-2      | Store Id ->2    | Sale Amt. ->796.50836        
| Produced ->20     | Thread-0      | Store Id ->0    | Sale Amt. ->146.04054        
| Consumed ->21     | Thread-6      | Store Id ->3    | Sale Amt. ->882.4341        
| Produced ->21     | Thread-2      | Store Id ->2    | Sale Amt. ->5.9180393        
| Consumed ->22     | Thread-7      | Store Id ->2    | Sale Amt. ->796.50836        
| Consumed ->24     | Thread-5      | Store Id ->2    | Sale Amt. ->5.9180393        
| Consumed ->24     | Thread-8      | Store Id ->0    | Sale Amt. ->146.04054        
| Produced ->24     | Thread-4      | Store Id ->4    | Sale Amt. ->207.97595        
| Produced ->24     | Thread-1      | Store Id ->1    | Sale Amt. ->504.5223        
| Produced ->24     | Thread-2      | Store Id ->2    | Sale Amt. ->905.37506        
| Consumed ->25     | Thread-9      | Store Id ->4    | Sale Amt. ->207.97595        
| Produced ->25     | Thread-2      | Store Id ->2    | Sale Amt. ->130.63268        
| Produced ->25     | Thread-0      | Store Id ->0    | Sale Amt. ->441.9678        
| Produced ->25     | Thread-3      | Store Id ->3    | Sale Amt. ->35.448753        
| Consumed ->26     | Thread-5      | Store Id ->1    | Sale Amt. ->504.5223        
| Produced ->26     | Thread-2      | Store Id ->2    | Sale Amt. ->80.388824        
| Consumed ->27     | Thread-8      | Store Id ->2    | Sale Amt. ->905.37506        
| Produced ->27     | Thread-1      | Store Id ->1    | Sale Amt. ->154.8402        
| Consumed ->29     | Thread-7      | Store Id ->0    | Sale Amt. ->441.9678        
| Produced ->29     | Thread-2      | Store Id ->2    | Sale Amt. ->117.735085        
| Produced ->29     | Thread-1      | Store Id ->1    | Sale Amt. ->878.0018        
| Consumed ->28     | Thread-6      | Store Id ->2    | Sale Amt. ->130.63268        
| Produced ->30     | Thread-4      | Store Id ->4    | Sale Amt. ->537.1289        
| Consumed ->30     | Thread-5      | Store Id ->3    | Sale Amt. ->35.448753        
| Consumed ->32     | Thread-9      | Store Id ->2    | Sale Amt. ->80.388824        
| Produced ->32     | Thread-3      | Store Id ->3    | Sale Amt. ->817.7505        
| Produced ->32     | Thread-0      | Store Id ->0    | Sale Amt. ->107.42261        
| Consumed ->32     | Thread-6      | Store Id ->1    | Sale Amt. ->154.8402        
| Consumed ->33     | Thread-8      | Store Id ->1    | Sale Amt. ->878.0018        
| Produced ->33     | Thread-4      | Store Id ->4    | Sale Amt. ->415.72714        
| Consumed ->35     | Thread-7      | Store Id ->2    | Sale Amt. ->117.735085        
| Consumed ->35     | Thread-9      | Store Id ->4    | Sale Amt. ->537.1289        
| Produced ->35     | Thread-4      | Store Id ->4    | Sale Amt. ->833.5247        
| Produced ->35     | Thread-2      | Store Id ->2    | Sale Amt. ->964.5859        
| Consumed ->36     | Thread-9      | Store Id ->0    | Sale Amt. ->107.42261        
| Produced ->36     | Thread-3      | Store Id ->3    | Sale Amt. ->146.5583        
| Produced ->37     | Thread-1      | Store Id ->1    | Sale Amt. ->308.05325        
| Consumed ->37     | Thread-5      | Store Id ->3    | Sale Amt. ->817.7505        
| Consumed ->38     | Thread-6      | Store Id ->4    | Sale Amt. ->415.72714        
| Produced ->38     | Thread-0      | Store Id ->0    | Sale Amt. ->792.5487        
