> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
10 Producers and 10 Consumers to be initilized 

| Consumed ->10     | Thread-10      | Store Id ->7    | Sale Amt. ->218.79082        
| Produced ->10     | Thread-0      | Store Id ->0    | Sale Amt. ->189.03188        
| Consumed ->10     | Thread-12      | Store Id ->0    | Sale Amt. ->189.03188        
| Consumed ->10     | Thread-13      | Store Id ->2    | Sale Amt. ->387.12256        
| Consumed ->10     | Thread-14      | Store Id ->8    | Sale Amt. ->903.3245        
| Consumed ->10     | Thread-15      | Store Id ->9    | Sale Amt. ->486.05847        
| Consumed ->10     | Thread-18      | Store Id ->5    | Sale Amt. ->275.14865        
| Produced ->10     | Thread-2      | Store Id ->2    | Sale Amt. ->387.12256        
| Consumed ->10     | Thread-17      | Store Id ->3    | Sale Amt. ->820.46967        
| Consumed ->10     | Thread-16      | Store Id ->1    | Sale Amt. ->313.19968        
| Produced ->10     | Thread-4      | Store Id ->4    | Sale Amt. ->821.2106        
| Produced ->10     | Thread-5      | Store Id ->5    | Sale Amt. ->275.14865        
| Produced ->10     | Thread-1      | Store Id ->1    | Sale Amt. ->313.19968        
| Produced ->10     | Thread-8      | Store Id ->8    | Sale Amt. ->903.3245        
| Produced ->10     | Thread-7      | Store Id ->7    | Sale Amt. ->218.79082        
| Produced ->10     | Thread-9      | Store Id ->9    | Sale Amt. ->486.05847        
| Consumed ->10     | Thread-19      | Store Id ->4    | Sale Amt. ->821.2106        
| Produced ->10     | Thread-6      | Store Id ->6    | Sale Amt. ->580.846        
| Consumed ->10     | Thread-11      | Store Id ->6    | Sale Amt. ->580.846        
| Produced ->10     | Thread-3      | Store Id ->3    | Sale Amt. ->820.46967        
| Produced ->12     | Thread-4      | Store Id ->4    | Sale Amt. ->82.41828        
| Consumed ->12     | Thread-12      | Store Id ->4    | Sale Amt. ->82.41828        
| Produced ->12     | Thread-7      | Store Id ->7    | Sale Amt. ->184.70387        
| Consumed ->12     | Thread-10      | Store Id ->7    | Sale Amt. ->184.70387        
| Produced ->13     | Thread-6      | Store Id ->6    | Sale Amt. ->418.0269        
| Consumed ->13     | Thread-15      | Store Id ->6    | Sale Amt. ->418.0269        
| Produced ->16     | Thread-2      | Store Id ->2    | Sale Amt. ->660.52        
| Consumed ->16     | Thread-13      | Store Id ->2    | Sale Amt. ->660.52        
| Produced ->16     | Thread-0      | Store Id ->0    | Sale Amt. ->218.74852        
| Consumed ->16     | Thread-16      | Store Id ->0    | Sale Amt. ->218.74852        
| Produced ->18     | Thread-1      | Store Id ->1    | Sale Amt. ->581.0801        
| Consumed ->18     | Thread-11      | Store Id ->6    | Sale Amt. ->219.33533        
| Consumed ->18     | Thread-12      | Store Id ->1    | Sale Amt. ->581.0801        
| Produced ->18     | Thread-6      | Store Id ->6    | Sale Amt. ->219.33533        
| Consumed ->20     | Thread-16      | Store Id ->5    | Sale Amt. ->631.1752        
| Produced ->20     | Thread-5      | Store Id ->5    | Sale Amt. ->631.1752        
| Produced ->21     | Thread-9      | Store Id ->9    | Sale Amt. ->568.47314        
| Consumed ->21     | Thread-10      | Store Id ->9    | Sale Amt. ->568.47314        
| Produced ->22     | Thread-4      | Store Id ->4    | Sale Amt. ->895.1527        
| Consumed ->22     | Thread-18      | Store Id ->4    | Sale Amt. ->895.1527        
| Consumed ->23     | Thread-19      | Store Id ->7    | Sale Amt. ->392.49835        
| Produced ->23     | Thread-7      | Store Id ->7    | Sale Amt. ->392.49835        
| Produced ->24     | Thread-8      | Store Id ->8    | Sale Amt. ->29.81595        
| Consumed ->24     | Thread-12      | Store Id ->5    | Sale Amt. ->904.5729        
| Consumed ->24     | Thread-14      | Store Id ->8    | Sale Amt. ->29.81595        
| Produced ->24     | Thread-5      | Store Id ->5    | Sale Amt. ->904.5729        
