> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
10 Producers and 5 Consumers to be initilized 

| Produced ->5     | Thread-9      | Store Id ->9    | Sale Amt. ->285.98712        
| Consumed ->5     | Thread-11      | Store Id ->7    | Sale Amt. ->622.9823        
| Produced ->5     | Thread-5      | Store Id ->5    | Sale Amt. ->139.35208        
| Consumed ->5     | Thread-12      | Store Id ->0    | Sale Amt. ->579.40186        
| Produced ->5     | Thread-3      | Store Id ->3    | Sale Amt. ->571.1092        
| Consumed ->5     | Thread-10      | Store Id ->2    | Sale Amt. ->759.1546        
| Produced ->5     | Thread-7      | Store Id ->7    | Sale Amt. ->622.9823        
| Produced ->5     | Thread-2      | Store Id ->2    | Sale Amt. ->759.1546        
| Consumed ->5     | Thread-13      | Store Id ->3    | Sale Amt. ->571.1092        
| Consumed ->5     | Thread-14      | Store Id ->4    | Sale Amt. ->441.05597        
| Produced ->5     | Thread-0      | Store Id ->0    | Sale Amt. ->579.40186        
| Produced ->5     | Thread-4      | Store Id ->4    | Sale Amt. ->441.05597        
| Produced ->5     | Thread-1      | Store Id ->1    | Sale Amt. ->348.6585        
| Produced ->5     | Thread-6      | Store Id ->6    | Sale Amt. ->377.96387        
| Produced ->5     | Thread-8      | Store Id ->8    | Sale Amt. ->472.15448        
| Produced ->6     | Thread-5      | Store Id ->5    | Sale Amt. ->807.4217        
| Consumed ->6     | Thread-11      | Store Id ->8    | Sale Amt. ->472.15448        
| Consumed ->7     | Thread-14      | Store Id ->5    | Sale Amt. ->139.35208        
| Produced ->7     | Thread-9      | Store Id ->9    | Sale Amt. ->682.52356        
| Consumed ->9     | Thread-13      | Store Id ->9    | Sale Amt. ->285.98712        
| Produced ->9     | Thread-4      | Store Id ->4    | Sale Amt. ->141.29659        
| Produced ->9     | Thread-3      | Store Id ->3    | Sale Amt. ->183.38858        
| Consumed ->9     | Thread-10      | Store Id ->6    | Sale Amt. ->377.96387        
| Consumed ->10     | Thread-12      | Store Id ->1    | Sale Amt. ->348.6585        
| Produced ->10     | Thread-5      | Store Id ->5    | Sale Amt. ->276.34848        
| Consumed ->11     | Thread-10      | Store Id ->5    | Sale Amt. ->807.4217        
| Produced ->13     | Thread-2      | Store Id ->2    | Sale Amt. ->227.78445        
| Produced ->13     | Thread-6      | Store Id ->6    | Sale Amt. ->193.96367        
| Consumed ->13     | Thread-14      | Store Id ->3    | Sale Amt. ->183.38858        
| Consumed ->12     | Thread-11      | Store Id ->9    | Sale Amt. ->682.52356        
| Produced ->13     | Thread-8      | Store Id ->8    | Sale Amt. ->871.36176        
| Consumed ->14     | Thread-10      | Store Id ->4    | Sale Amt. ->141.29659        
| Produced ->14     | Thread-0      | Store Id ->0    | Sale Amt. ->494.19238        
| Produced ->15     | Thread-9      | Store Id ->9    | Sale Amt. ->877.1675        
| Consumed ->15     | Thread-12      | Store Id ->5    | Sale Amt. ->276.34848        
| Produced ->16     | Thread-3      | Store Id ->3    | Sale Amt. ->429.8715        
| Consumed ->16     | Thread-11      | Store Id ->6    | Sale Amt. ->193.96367        
| Produced ->17     | Thread-5      | Store Id ->5    | Sale Amt. ->695.61066        
| Consumed ->17     | Thread-13      | Store Id ->2    | Sale Amt. ->227.78445        
| Produced ->18     | Thread-6      | Store Id ->6    | Sale Amt. ->867.9414        
