> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
5 Producers and 10 Consumers to be initilized 

| Consumed ->10     | Thread-11      | Store Id ->1    | Sale Amt. ->779.0888        
| Consumed ->10     | Thread-12      | Store Id ->4    | Sale Amt. ->894.8316        
| Produced ->10     | Thread-0      | Store Id ->0    | Sale Amt. ->156.12766        
| Produced ->10     | Thread-4      | Store Id ->4    | Sale Amt. ->894.8316        
| Consumed ->10     | Thread-14      | Store Id ->3    | Sale Amt. ->401.25864        
| Produced ->10     | Thread-2      | Store Id ->2    | Sale Amt. ->610.2165        
| Consumed ->10     | Thread-13      | Store Id ->2    | Sale Amt. ->610.2165        
| Consumed ->10     | Thread-5      | Store Id ->0    | Sale Amt. ->156.12766        
| Produced ->10     | Thread-1      | Store Id ->1    | Sale Amt. ->779.0888        
| Produced ->10     | Thread-3      | Store Id ->3    | Sale Amt. ->401.25864        
| Produced ->12     | Thread-2      | Store Id ->2    | Sale Amt. ->38.80463        
| Consumed ->12     | Thread-5      | Store Id ->2    | Sale Amt. ->38.80463        
| Produced ->13     | Thread-4      | Store Id ->4    | Sale Amt. ->833.20746        
| Consumed ->13     | Thread-11      | Store Id ->4    | Sale Amt. ->833.20746        
| Produced ->13     | Thread-1      | Store Id ->1    | Sale Amt. ->432.48514        
| Consumed ->13     | Thread-6      | Store Id ->1    | Sale Amt. ->432.48514        
| Produced ->14     | Thread-2      | Store Id ->2    | Sale Amt. ->705.99585        
| Consumed ->14     | Thread-10      | Store Id ->0    | Sale Amt. ->680.66095        
| Produced ->14     | Thread-0      | Store Id ->0    | Sale Amt. ->680.66095        
| Consumed ->14     | Thread-12      | Store Id ->2    | Sale Amt. ->705.99585        
| Produced ->15     | Thread-3      | Store Id ->3    | Sale Amt. ->756.2609        
| Consumed ->15     | Thread-9      | Store Id ->3    | Sale Amt. ->756.2609        
| Produced ->15     | Thread-4      | Store Id ->4    | Sale Amt. ->55.197678        
| Consumed ->15     | Thread-7      | Store Id ->4    | Sale Amt. ->55.197678        
| Produced ->17     | Thread-3      | Store Id ->3    | Sale Amt. ->962.3576        
| Consumed ->17     | Thread-13      | Store Id ->3    | Sale Amt. ->962.3576        
| Produced ->21     | Thread-4      | Store Id ->4    | Sale Amt. ->44.873283        
| Consumed ->21     | Thread-13      | Store Id ->4    | Sale Amt. ->44.873283        
| Produced ->22     | Thread-3      | Store Id ->3    | Sale Amt. ->326.1724        
| Consumed ->22     | Thread-5      | Store Id ->3    | Sale Amt. ->326.1724        
| Consumed ->23     | Thread-12      | Store Id ->1    | Sale Amt. ->745.58295        
